Default_Component,System_ID,System_des,redi_repair_sequence,Subsystem_ID,Subsystem_des,Summary,Description,ComponentValue,qtyPerUnit,pelicunUnits,Directional,Locations,FloorQuant,OfficeMatrix
B1031.001,1,structural,s,0,,Bolted shear tab gravity connections,Bolted shear tab gravity connections,1,1,ea,Y,all,Y,48
B1031.011a,1,structural,s,0,,Steel Column Base Plates,"Steel Column Base Plates, Column W < 150 plf",1,1,ea,Y,1,Y,20
B1031.021a,1,structural,s,0,,Welded column splices,"Welded column splices, Column W < 150 plf",1,1,ea,Y,2,Y,20
B1035.001,1,structural,s,0,,Post-Northridge RBS connection: single beam side,"Post-Northridge RBS connection with welded web, beam one side of column only, beam depth <= W27",1,1,ea,Y,all,Y,8
B1035.011,1,structural,s,0,,Post-Northridge RBS connection: double beam side,"Post-Northridge RBS connection with welded web, beams both sides of column, beam depth <= W27",1,1,ea,Y,all,Y,12
B2011.201a,2,exterior,b,0,,Precast Concrete Panels - in plane deformation,Precast Concrete Panels 4.5 inches thick - in plane deformation,1,30,ft,Y,all,Y,2.22
B2011.201b,2,exterior,b,0,,Precast Concrete Panels - out of plane deformation,Precast Concrete Panels 4.5 inches thick - out of plane deformation,1,30,ft,Y,all,Y,2.22
B2022.002,2,exterior,b,0,,Glass Curtain Walls,"Curtain Walls - Generic Midrise Stick-Built Curtain wall, Config: Monolithic, Lamination: Unknown, Glass Type: Unknown, Details: Aspect ratio = 6:5,  Other details Unknown",1,30,ft2,Y,all,Y,144.44
C1011.001b,3,interior,a,0,,Partial-height Gypusm with metal studs,"Wall Partition, Type: Gypsum with metal studs, Partial Height, Fixed Below, Lateral Braced Above",1,100,ft,Y,all,Y,10
C3011.001b,3,interior,a,0,,Partial-height Gypusm + wallpaper,"Wall Partition, Type: Gypsum + Wallpaper, Partial Height, Fixed Below, Lateral Braced Above",1,100,ft,Y,all,Y,0.75
C2011.001b,4,stairs,f,0,,Stairs,Prefabricated steel stair with steel treads and landings with no seismic joint.,1,1,ea,Y,all,Y,2
C3027.002,3,interior,a,0,,Raised access flooring,"Raised Access Floor, seismically rated.",1,100,ft2,N,all,Y,75
